Product Name,Product Name,Rating,MRP,Pack Size,Quantity,,Quantity,Unit,Type,Discount,Category,Key Ingredients,Tokens,Key Ingredients,,,,,
Aloe Turmeric Gel for Skin & Hair,Aloe Turmeric Gel For Skin & Hair,4.8,249, 100ml, 100,l,100,ml,Volumn,0%,Face Wash,Neem  Aloe Vera  Tea Tree Oil ,tea tree facewash acne pimple,Neem Aloe Vera Tea Tree Oil,,,,,
Aloe Turmeric Gel for Skin & Hair 300ml (Saver Pack get 20% extra),Aloe Turmeric Gel For Skin & Hair 300Ml (Saver Pack Get 20% Extra),4.8,1199,NA,NA,,NA,NA,NA,25%,Hair Kit,Bhringraj Oil  Biotin ,anti hair fall kit complete hair care,Bhringraj Oil Biotin,,,,,
Aloe Vera Gel with Pure Aloe Vera & Vitamin E for Skin and Hair ,Aloe Vera Gel With Pure Aloe Vera & Vitamin E For Skin And Hair ,4.8,599, 200ml, 200,l,200,ml,Volumn,0%,Hair Oil,Argan Oil ,argan hair mask argan avocado oil milk protein frizz free strong hair,Argan Oil,,,,Vlookup Formula,
Aloe Vera Gel with Pure Aloe Vera & Vitamin E for Skin and Hair ,Aloe Vera Gel With Pure Aloe Vera & Vitamin E For Skin And Hair ,5,149, 25 g, 25 ,,25,gram,Weight,0%,Unknown ,Turmeric,ubtan bamboo sheet mask turmeric saffron skin brightening,Turmeric,,,,gram,Weight
Aloe Vera Gel with Pure Aloe Vera & Vitamin E for Skin and Hair ,Aloe Vera Gel With Pure Aloe Vera & Vitamin E For Skin And Hair ,5,149, 25 g, 25 ,,25,gram,Weight,0%,Unknown ,Niacinamide,niacinamide bamboo sheet mask niacinamide ginger extract clear glowing skin,Niacinamide,,,,ml,Volumn
Anti Acne Combo: Oil Free Moisturizer and Ultra Light Indian Sunscreen,Anti Acne Combo: Oil Free Moisturizer And Ultra Light Indian Sunscreen,Not Rated,634,NA,NA,,NA,NA,NA,2%,Hair Shampoo,Red Onion ,onion shampoo onion hair serum combo,Red Onion,,,,NA,NA
Anti Hair Fall Kit for complete hair care,Anti Hair Fall Kit For Complete Hair Care,Not Rated,924,NA,NA,,NA,NA,NA,3%,Unknown ,Onion Seed Oil,onion shampoo oil combo,Onion Seed Oil,,,,Packet,Count
Anti Hair Fall Kit for complete hair care,Anti Hair Fall Kit For Complete Hair Care,5,679,Pack Of 2,2,,2,Packet,Count,3%,Hair Shampoo,Onion Seed Oil,onion shampoo hair growth hair fall control 250 ml pac,Onion Seed Oil,,,,,
Anti Hair Fall Kit for complete hair care,Anti Hair Fall Kit For Complete Hair Care,Not Rated,679, 30ml, 30,l,30,ml,Volumn,3%,Face Wash,Walnut Beads  Liquorice Extract  Carrot Seed Oil  Mulberry Extract  Daisy Flower  Geranium Oil  ,spotless skin combo ubtan facewash 100ml bye bye blemishes face cream,Walnut Beads Liquorice Extract Carrot Seed Oil Mulberry Extract Daisy Flower Geranium Oil,,,,,
Anti Hair Fall Kit for complete hair care,Anti Hair Fall Kit For Complete Hair Care,5,849,NA,NA,,NA,NA,NA,26%,Unknown ,Apple Cider Vinegar Niacinamide,anti acne kit,Apple Cider Vinegar Niacinamide,,,,,
