product_name,rating,mrp,quantity,unit,type,discount,category,key_ingredients
Aloe Turmeric Gel For Skin & Hair,4.8,249,100,ml,Volumn,0,Face Wash,Neem Aloe Vera Tea Tree Oil
Aloe Turmeric Gel For Skin & Hair 300Ml (Saver Pack Get 20% Extra),4.8,1199,NULL,NULL,NULL,0.25,Hair Kit,Bhringraj Oil Biotin
Aloe Vera Gel With Pure Aloe Vera & Vitamin E For Skin And Hair ,4.8,599,200,ml,Volumn,0,Hair Oil,Argan Oil
Aloe Vera Gel With Pure Aloe Vera & Vitamin E For Skin And Hair ,5,149,25,gram,Weight,0,Unknown ,Turmeric
Aloe Vera Gel With Pure Aloe Vera & Vitamin E For Skin And Hair ,5,149,25,gram,Weight,0,Unknown ,Niacinamide
Anti Acne Combo: Oil Free Moisturizer And Ultra Light Indian Sunscreen,NULL,634,NULL,NULL,NULL,0.02,Hair Shampoo,Red Onion
Anti Hair Fall Kit For Complete Hair Care,NULL,924,NULL,NULL,NULL,0.03,Hair Kit,Onion Seed Oil
Anti Hair Fall Kit For Complete Hair Care,5,679,2,Packet,Count,0.03,Hair Shampoo,Onion Seed Oil
Anti Hair Fall Kit For Complete Hair Care,NULL,679,30,ml,Volumn,0.03,Face Wash,Walnut Beads Liquorice Extract Carrot Seed Oil Mulberry Extract Daisy Flower Geranium Oil
Anti Hair Fall Kit For Complete Hair Care,5,849,NULL,NULL,NULL,0.26,Hair Kit,Apple Cider Vinegar Niacinamide
Antiacne Kit,5,599,50,ml,Volumn,0,Unknown ,Red Onion
Antiacne Kit,5,399,400,ml,Volumn,0,Body Lotion,Vitamin C
Antiacne Kit,5,399,400,ml,Volumn,0,Body Lotion,Turmeric
Antipollution Daily Face Cream For Dry And Oily Skin With Turmeric And For A Bright Glowing Skin ,5,399,150,ml,Volumn,0,Face Wash,Vitamin C
Antipollution Kit,NULL,249,100,ml,Volumn,0,Face Wash,Vitamin C
Apple Cider Vinegar Foaming Face Wash With Apple Cider Vinegar & Aloe Vera Water For Deep Cleansing ,NULL,599,50,gram,Weight,0,Face Wash,Vitamin C
Argan Conditioner With Argan & Apple Cider Vinegar For Frizzfree And Stronger Hair ,NULL,499,100,gram,Weight,0,Face Mask,Vitamin C
Argan Conditioner With Argan & Apple Cider Vinegar For Frizzfree And Stronger Hair ,NULL,599,100,gram,Weight,0,Unknown ,Vitamin C
Argan Conditioner With Argan & Apple Cider Vinegar For Frizzfree And Stronger Hair ,4.8,599,200,ml,Volumn,0,Hair Oil,Unknown
Argan Hair Mask & Argan Shampoo,NULL,999,NULL,NULL,NULL,0.28,Hair Kit,Unknown
Argan Hair Mask With Argan Avocado Oil And Milk Protein For Frizzfree & Stronger Hair,4.9,349,250,ml,Volumn,0,Hair Kit,Argan Oil
Argan Hair Mask With Argan Avocado Oil And Milk Protein For Frizzfree & Stronger Hair ,NULL,679,NULL,NULL,NULL,0.03,Hair Oil,Onion Seed Extract Onion Seed Oil
Argan Hair Mask With Argan Avocado Oil And Milk Protein For Frizzfree & Stronger Hair ,NULL,599,250,ml,Volumn,0,Hair Oil,Onion Seed Oil
Argan Hair Mask With Argan Avocado Oil And Milk Protein For Frizzfree & Stronger Hair ,NULL,349,100,gram,Weight,0,Hair Kit,Turmeric
Argan Hair Oil With Argan Oil & Avocado Oil For Frizzfree & Stronger Hair ,NULL,399,200,ml,Volumn,0,Hair Oil,Vitamin C
Argan Shampoo And Conditioner Combo,NULL,399,300,ml,Volumn,0,Body Kit,Aloe Vera
Argan Shampoo With Argan & Apple Cider Vinegar For Frizzfree & Stronger Hair  ,NULL,299,100,ml,Volumn,0,Hair Shampoo,Onion Seed Extract
Bhringamla Conditioner With Bhringraj & Amla For Intense Hair Treatment ,NULL,599,30,ml,Volumn,0,Face Cream,Niacinamide
Bhringamla Hair Mask With Bhringraj & Amla For Intense Hair Treatment ,NULL,599,30,gram,Weight,0,Face Cream,Vitamin C
Bhringamla Hair Oil With Bhringraj & Amla For Intense Hair Treatment ,NULL,399,20,ml,Volumn,0,Hair Oil,Cucumber Extract Daisy Flower Extract Peptides Hawkweed Extract
Bhringamla Shampoo And Conditioner Combo,5,559,400,ml,Volumn,0,Hair Shampoo,Onion Seed Oil
Bhringamla Shampoo With Bhringraj & Amla For Intense Hair Treatment ,NULL,559,400,ml,Volumn,0,Hair Shampoo,Onion Seed Oil Coconut
Bye Bye Blemishes 30G And Bye Bye Dark Circles Combo,4.5,349,250,ml,Volumn,0,Hair Shampoo,Tea Tree Oil Ginger Oil
Bye Bye Blemishes Face Cream For Reducing Pigmentation & Blemishes With Mulberry Extract & Vitamin C ,5,349,250,ml,Volumn,0,Face Cream,Onion Seed Oil
Bye Bye Blemishes Face Cream For Reducing Pigmentation & Blemishes With Mulberry Extract & Vitamin C ,5,599,200,ml,Volumn,0,Hair Oil,Onion Oil
Bye Bye Blemishes Face Cream For Reducing Pigmentation & Blemishes With Mulberry Extract & Vitamin C ,5,349,250,ml,Volumn,0,Hair Oil,Tea Tree Oil
Bye Bye Dark Circles Eye Cream With Cucumber & Peptides For Dark Circles ,NULL,449,30,ml,Volumn,0,Face Cream,Vitamin C Daisy Flower Extract Licorice Extract Mulberry Extract
Bye Bye Dark Circles Eye Cream With Cucumber & Peptides For Dark Circles ,5,679,250,ml,Volumn,0.03,Hair Shampoo,Onion Seed Oil
Bye Bye Dark Circles Eye Cream With Cucumber & Peptides For Dark Circles ,5,299,80,ml,Volumn,0,Face Cream,Apple Cider Vinegar Cetearyl Octanoate Betaine Fatty Acids
C3 Face Mask For Healthy & Glowing Skin,5,499,80,ml,Volumn,0,Face Mask,Carrot Seed Oil
Castor Oil For Healthier Skin Hair And Nails With 100% Pure And Natural Coldpressed Oil,NULL,724,100,ml,Volumn,0.03,Hair Oil,Saffron Turmeric
Charcoal Body Wash With Charcoal & Mint For Deep Cleansing ,NULL,499,100,gram,Weight,0,Face Mask,Saffron
Charcoal Body Wash With Charcoal & Mint For Deep Cleansing Pac,5,249,100,ml,Volumn,0,Face Wash,Turmeric Walnut Beads Licorice Extract Carrot Oil
Charcoal Face Scrub For Oily Skin & Normal Skin With Charcoal & Walnut For Deep Exfoliation ,4.8,1199,NULL,NULL,NULL,0.25,Hair Kit,Bhringraj Oil Biotin
Charcoal Face Wash & Scrub Combo,4.8,599,200,ml,Volumn,0,Hair Oil,Argan Oil
Charcoal Facewash For Oil Control,5,149,25,gram,Weight,0,Face Wash,Turmeric
Charcoal Facewash For Oil Control Pack,5,149,25,gram,Weight,0,Face Wash,Niacinamide
Charcoal Facial Regimen Kit,NULL,634,NULL,NULL,NULL,0.02,Hair Shampoo,Red Onion
Charcoal Secrets Combo: C3 Face Mask And Charcoal Facewash,NULL,924,NULL,NULL,NULL,0.03,Unknown ,Onion Seed Oil
Coco Bamboo Sheet Mask With Coffee & Cocoa For Skin Awakening ,5,679,2,Packet,Count,0.03,Hair Shampoo,Onion Seed Oil
Coco Body Butter For Dry Skin With Coffee & Cocoa For Deep Moisturization,NULL,679,30,ml,Volumn,0.03,Face Wash,Walnut Beads Liquorice Extract Carrot Seed Oil Mulberry Extract Daisy Flower Geranium Oil
Coco Body Lotion With Coffee And Cocoa For Intense Moisturization ,5,849,NULL,NULL,NULL,0.26,Body Lotion,Apple Cider Vinegar Niacinamide
Coco Body Wash With Coffee & Cocoa For Skin Awakening ,5,599,50,ml,Volumn,0,Body Wash,Red Onion
Coco Body Wash With Coffee & Cocoa For Skin Awakening ,5,399,400,ml,Volumn,0,Body Lotion,Vitamin C
Coco Face Mask With Coffee & Cocoa For Skin Awakening ,5,399,400,ml,Volumn,0,Body Lotion,Turmeric
Coco Face Scrub With Coffee & Cocoa For Rich Exfoliation ,5,399,150,ml,Volumn,0,Face Wash,Vitamin C
Coco Face Wash With Coffee & Cocoa For Skin Awakening,NULL,249,100,ml,Volumn,0,Face Wash,Vitamin C
Coco Face Wash With Coffee & Cocoa For Skin Awakening Pack,NULL,599,50,gram,Weight,0,Face Wash,Vitamin C
Coco Hand Cream With Coffee & Cocoa For Rich Moisturization,NULL,499,100,gram,Weight,0,Face Mask,Vitamin C
